Campaign,Campaign Status,Negative keyword list,Keyword,Criterion Type,Status
HyperStore - Games & Packs,Enabled,,,,
HyperStore - Games & Packs,,Kizáró-1,,,
HyperStore - Games & Packs,,,apk,Negative Broad,Enabled
HyperStore - Games & Packs,,,beginner,Negative Broad,Enabled
HyperStore - Games & Packs,,,career,Negative Broad,Enabled
HyperStore - Games & Packs,,,cocos,Negative Broad,Enabled
HyperStore - Games & Packs,,,construct 3,Negative Broad,Enabled
HyperStore - Games & Packs,,,course,Negative Broad,Enabled
HyperStore - Games & Packs,,,crack,Negative Broad,Enabled
HyperStore - Games & Packs,,,decompile,Negative Broad,Enabled
HyperStore - Games & Packs,,,documentation,Negative Broad,Enabled
HyperStore - Games & Packs,,,docs,Negative Broad,Enabled
HyperStore - Games & Packs,,,example,Negative Broad,Enabled
HyperStore - Games & Packs,,,example project,Negative Broad,Enabled
HyperStore - Games & Packs,,,font,Negative Broad,Enabled
HyperStore - Games & Packs,,,free,Negative Broad,Enabled
HyperStore - Games & Packs,,,free assets,Negative Broad,Enabled
HyperStore - Games & Packs,,,gdevelop,Negative Broad,Enabled
HyperStore - Games & Packs,,,github,Negative Broad,Enabled
HyperStore - Games & Packs,,,godot,Negative Broad,Enabled
HyperStore - Games & Packs,,,guide,Negative Broad,Enabled
HyperStore - Games & Packs,,,hack,Negative Broad,Enabled
HyperStore - Games & Packs,,,hiring,Negative Broad,Enabled
HyperStore - Games & Packs,,,how to,Negative Broad,Enabled
HyperStore - Games & Packs,,,how to make,Negative Broad,Enabled
HyperStore - Games & Packs,,,remote job,Negative Broad,Enabled
HyperStore - Games & Packs,,,resume,Negative Broad,Enabled
HyperStore - Games & Packs,,,roblox,Negative Broad,Enabled
HyperStore - Games & Packs,,,salary,Negative Broad,Enabled
HyperStore - Games & Packs,,,sample,Negative Broad,Enabled
HyperStore - Games & Packs,,,sample project,Negative Broad,Enabled
HyperStore - Games & Packs,,,starter project,Negative Broad,Enabled
HyperStore - Games & Packs,,,step by step,Negative Broad,Enabled
HyperStore - Games & Packs,,,torrent,Negative Broad,Enabled
HyperStore - Games & Packs,,,tutorial,Negative Broad,Enabled
HyperStore - Games & Packs,,,unreal,Negative Broad,Enabled
HyperStore - Games & Packs,,,wiki,Negative Broad,Enabled
HyperStore - Games & Packs,,,sfx,Negative Broad,Enabled
HyperStore - Games & Packs,,,sound effects,Negative Broad,Enabled
HyperStore - Games & Packs,,,sound pack,Negative Broad,Enabled
HyperStore - Games & Packs,,,job,Negative Broad,Enabled
HyperStore - Games & Packs,,,jobs,Negative Broad,Enabled
HyperStore - Games & Packs,,,learn,Negative Broad,Enabled
HyperStore - Games & Packs,,,pdf,Negative Broad,Enabled
HyperStore - Games & Packs,,,open source,Negative Broad,Enabled
HyperStore - Games & Packs,,,nulled,Negative Broad,Enabled
HyperStore - Games & Packs,,,udemy,Negative Broad,Enabled
HyperStore - Games & Packs,,,youtube,Negative Broad,Enabled
