Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Languages,Location,EU political ads,Ad Group,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
HyperStore - Games & Packs,Search,Paused,1500,Maximize clicks,Google search,en,All countries and territories,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,hypercasual game bundle,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,unity game bundle source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,hypercasual games pack unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,unity mobile game bundle,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,10 games bundle unity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,unity puzzle games pack,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,hypercasual source code pack,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Games & Packs,,,,,,,,,Hypercasual Game Bundles,,buy hypercasual games bundle,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
