Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Languages,Location,EU political ads,Ad Group,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
HyperStore - Seller Recruitment,Search,Paused,1000,Maximize clicks,Google search,en,All countries and territories,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell unity game,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell unity source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell unity project,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell my unity game,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,where to sell unity games,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell game template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell hypercasual game,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell unity templates,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell mobile game source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,sell unity game template,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Source Code,,,,Enabled,Responsive search ad,https://hyper-code-store.com/sellers?utm_campaign=seller_recruitment,sell,unity,Sell Your Unity Source Code,Sell Shelved Unity Projects,Your Shelf Is Inventory,Sell Finished Unity Games,Sell Unity Game Templates,List Your Project Today,HyperCodeStore for Sellers,Keep 70% Rising to 85%,No Exclusivity Required,Reviewed Within 24 Hours,Set Your Own Price and Sales,Free to Join,Unity-Only Marketplace,Any Screenshot Size Works,Free AI Listing Help,"Finished, prototyped or shelved Unity games: list them with full source and earn.","Keep 70% of every sale from day one, rising to 85% as you sell more. No exclusivity.","Every listing is reviewed within 24 hours, weekends included. You set price and sales.",Unity-only store: your template or tool is not buried under WordPress themes.
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity assets,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity editor tools,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,where to sell unity assets,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity plugin,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity asset,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity tools,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,unity asset store alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,sell unity scripts,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,where to sell game assets,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,Sell Unity Assets and Tools,,,,Enabled,Responsive search ad,https://hyper-code-store.com/sellers?utm_campaign=seller_recruitment,sell,tools,Sell Unity Editor Tools,Sell Your Unity Assets,Also Sell Beyond One Store,Keep Your Other Listings,"Tools and Games, One Store",Run Your Own Discounts,HyperCodeStore for Sellers,Keep 70% Rising to 85%,No Exclusivity Required,Reviewed Within 24 Hours,Set Your Own Price and Sales,Free to Join,Unity-Only Marketplace,Any Screenshot Size Works,Free AI Listing Help,Editor tools and runtime assets sell here too. Keep your other store listings as they are.,"Keep 70% of every sale from day one, rising to 85% as you sell more. No exclusivity.","Every listing is reviewed within 24 hours, weekends included. You set price and sales.",Unity-only store: your template or tool is not buried under WordPress themes.
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sellmyapp alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sites like sellmyapp,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sellmyapp shut down,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sellmyapp closed,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sell my app alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,sellmyapp replacement,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,SellMyApp Sellers,,,,Enabled,Responsive search ad,https://hyper-code-store.com/sellers?utm_campaign=seller_recruitment,sellers,move,Looking for a New Home?,Send a Link and a ZIP,We Build the Listing for You,Live Within 24 Hours,Game Templates Sell Here,Move Your Templates Here,HyperCodeStore for Sellers,Keep 70% Rising to 85%,No Exclusivity Required,Reviewed Within 24 Hours,Set Your Own Price and Sales,Free to Join,Unity-Only Marketplace,Any Screenshot Size Works,Free AI Listing Help,Already listed elsewhere? Send the store link and the source ZIP; we build the listing.,"Keep 70% of every sale from day one, rising to 85% as you sell more. No exclusivity.","Every listing is reviewed within 24 hours, weekends included. You set price and sales.",Unity-only store: your template or tool is not buried under WordPress themes.
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,codecanyon alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,sites like codecanyon,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,codecanyon 50 percent,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,envato author alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,codester alternative,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,sites like codester,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,where to sell source code,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,sell source code online,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
HyperStore - Seller Recruitment,,,,,,,,,CodeCanyon Codester Sellers,,,,Enabled,Responsive search ad,https://hyper-code-store.com/sellers?utm_campaign=seller_recruitment,sellers,compare,Earning 50% Elsewhere?,"Keep 70%, Not 50%",Compare Revenue Shares,Sourced Fee Comparison,"Non-Exclusive, Keep Listings",Sell Unity Code Here Too,HyperCodeStore for Sellers,Keep 70% Rising to 85%,No Exclusivity Required,Reviewed Within 24 Hours,Set Your Own Price and Sales,Free to Join,Unity-Only Marketplace,Any Screenshot Size Works,Free AI Listing Help,"Compare what sellers keep on each store, read from each platform's own terms.","Keep 70% of every sale from day one, rising to 85% as you sell more. No exclusivity.","Every listing is reviewed within 24 hours, weekends included. You set price and sales.",Unity-only store: your template or tool is not buried under WordPress themes.
